file	line	english	russian	status
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	496	New foods	Новая еда	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	547	Moving fluids around	Перемещение жидкостей	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	564	Generates water 	Генерирует воду	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	581	Used to craft a infinite water source	Используется для создания бесконечного источника воды	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	614	Storage on the go, can be placed in world with shift right click	Переносное хранилище. Нажмите Shift+ПКМ, чтобы поставить его в мире	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	644	Used to configure mekanism pipes	Настраивает трубы Mekanism	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	660	Iron Cluster	Железный кластер	reviewed
overrides/config/ftbquests/quests/chapters/jet_suit.snbt	17	An alloy of gold and obsidian made in the arc furnace	Сплав золота и обсидиана, получаемый в дуговой печи	reviewed
overrides/config/ftbquests/quests/chapters/jet_suit.snbt	34	Used to make better cooler armor	Используется для создания более совершенной и эффектной брони	reviewed
overrides/config/ftbquests/quests/chapters/jet_suit.snbt	51	Can be used instead of the boots in the space suit. Provides basic flight	Заменяет ботинки скафандра и даёт возможность простого полёта	reviewed
overrides/config/ftbquests/quests/chapters/jet_suit.snbt	92	Can be used instead of the helmet in the space suit	Заменяет шлем скафандра	reviewed
overrides/config/ftbquests/quests/chapters/jet_suit.snbt	113	Can be used instead of the leggings in the space suit	Заменяет поножи скафандра	reviewed
overrides/config/ftbquests/quests/chapters/jet_suit.snbt	134	Can be used instead of the chestplate in the space suit	Заменяет нагрудник скафандра	reviewed
overrides/config/ftbquests/quests/chapters/jet_suit.snbt	154	Jet Suit	Реактивный костюм	reviewed
overrides/config/ftbquests/quests/chapters/more_geodes.snbt	426	More Clusters	Новые кластеры	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	13	Water drops and dirt can be used to make clay	Из капель воды и земли можно создать глину	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	30	Dirt can be made from organic powder	Земля создаётся из органического порошка	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	47	Broken blocks of clay	Получается при разрушении блоков глины	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	64	Sand can be made from gravel in a drying table	Песок получают из гравия на сушильном столе	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	81	Smelted sand makes glass	При переплавке песка получается стекло	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	98	Glass bottles can be made from glass	Стеклянные бутылки можно сделать из стекла	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	115	Water drops can be used to make water bottles	Из капель воды можно создавать бутылочки воды	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	138	Clay bucket mold	Глиняная форма для ведра	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	155	A smelted unfired clay bucket	Обожгите необожжённое глиняное ведро в печи	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	172	A bucket of water useful!	Наконец-то целое ведро воды!	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	202	Getting those saplings growing	Пора вырастить саженцы	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	219	Smelted clay blocks	Получается при обжиге блоков глины	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	236	Smelted clay balls	Получается при обжиге комков глины	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	253	Bricks can be used to make brick blocks	Кирпичи можно использовать для изготовления кирпичных блоков	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	273	Used to fill pipes and blocks with fluids. Buckets can be used on this	Заполняет трубы и блоки жидкостями; с ним можно использовать вёдра	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	290	Snow balls	Снежки	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	307	Block of snow	Блок снега	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	324	Colder ice	Ещё более холодный лёд	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	346	When placed in world requires a hot block and a colder block on adjacent sides to produce power	После установки вырабатывает энергию, если с соседних сторон находятся горячий и холодный блоки	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	363	Organic powder and artificial sticks can be used to make a oak sapling. This can not be grown in space!	Из органического порошка и искусственных палок можно создать саженец дуба. В космосе он не растёт!	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	383	Used to move power around	Передаёт энергию	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	400	Can be made with gravel in a crafting table, also drop sometimes when gravel is broken	Создаётся из гравия на верстаке и иногда выпадает при разрушении гравия	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	417	Just a block of flint, nice and warm	Обычный блок кремня — зато тёплый	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	434	Used to change pipez pipes between extract and insert	Переключает трубы Pipez между извлечением и приёмом	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	451	Stores fluids	Хранит жидкости	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	468	Used to change some basic blocks into different versions	Превращает некоторые базовые блоки в их разновидности	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	485	When broken drops a random sapling	При разрушении выпадает случайный саженец	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	497	Blue Ice: 200	Синий лёд: 200	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	497	Packed Ice: 240	Плотный лёд: 240	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	497	Ice: 260	Лёд: 260	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	497	Snow: 273	Снег: 273	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	497	Flint: 1100	Кремень: 1100	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	497	Magma: 1300	Магма: 1300	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	497	Uranium: 2000	Уран: 2000	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	512	Bigger the temperature differnce the better	Чем больше разница температур, тем лучше	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	515	Heating Options	Источники тепла	reviewed
overrides/config/ftbquests/quests/chapters/more_materials.snbt	522	First Wood	Первая древесина	reviewed
overrides/config/ftbquests/quests/chapters/never_ender_ores.snbt	13	This can be used to make other never ender ores which cannot be broken or moved unless you use the ore remover	Используется для создания других бесконечных эндер-руд. Их нельзя сломать или переместить без удалителя руды	reviewed
overrides/config/ftbquests/quests/chapters/never_ender_ores.snbt	30	Used to remove never ender ores	Удаляет блоки бесконечной эндер-руды	reviewed
overrides/config/ftbquests/quests/chapters/never_ender_ores.snbt	37	WIP	В разработке	reviewed
overrides/config/ftbquests/quests/chapters/never_ender_ores.snbt	54	Provide this block with power and a never ender ore underneath to get unlimited amounts of that ore	Подайте на блок энергию и поместите под него соответствующую бесконечную эндер-руду, чтобы добывать её без ограничений	reviewed
overrides/config/ftbquests/quests/chapters/never_ender_ores.snbt	71	Infused ender pearls	Наполненный эндер-жемчуг	reviewed
overrides/config/ftbquests/quests/chapters/never_ender_ores.snbt	91	Never ending ores	Бесконечные руды	reviewed
overrides/config/ftbquests/quests/chapters/never_ender_ores.snbt	134	Dhardy goodness... again?	Dhardy снова здесь?..	reviewed
overrides/config/ftbquests/quests/chapters/never_ender_ores.snbt	480	Never Ender Ores	Бесконечные эндер-руды	reviewed
overrides/config/ftbquests/quests/chapters/off_to_mars.snbt	13	Used to create the portal to Mars. Requires 10 blocks	Используется для создания портала на Марс. Требуется 10 блоков	reviewed
overrides/config/ftbquests/quests/chapters/off_to_mars.snbt	15	PRESS U ON THE ITEM TO VIEW RECIPE	НАВЕДИТЕ КУРСОР НА ПРЕДМЕТ И НАЖМИТЕ U, ЧТОБЫ ПОСМОТРЕТЬ РЕЦЕПТ	reviewed
overrides/config/ftbquests/quests/chapters/off_to_mars.snbt	26	Drops from red sandstone on the mars below y level 0 along with other gems	Выпадает из красного песчаника на Марсе ниже уровня Y=0 вместе с другими самоцветами	reviewed
overrides/config/ftbquests/quests/chapters/off_to_mars.snbt	73	Off To Mars	Отправляемся на Марс	reviewed
overrides/config/ftbquests/quests/chapters/off_to_the_moon.snbt	13	Used to create the portal to the Moon. Requires 10 blocks	Используется для создания портала на Луну. Требуется 10 блоков	reviewed
overrides/config/ftbquests/quests/chapters/off_to_the_moon.snbt	30	Cheese spawns on the moon, obviously	Сыр, разумеется, встречается на Луне	reviewed
overrides/config/ftbquests/quests/chapters/off_to_the_moon.snbt	47	Spawns inside houses and large asteroids on the moon	Встречается внутри домов и крупных астероидов на Луне	reviewed
overrides/config/ftbquests/quests/chapters/off_to_the_moon.snbt	64	Drops from blackstone on the moon below y level 0	Выпадает из чернита на Луне ниже уровня Y=0	reviewed
overrides/config/ftbquests/quests/chapters/off_to_the_moon.snbt	81	Made with amethyst shard and prismarine shards	Создаётся из осколка аметиста и призмариновых кристаллов	reviewed
overrides/config/ftbquests/quests/chapters/off_to_the_moon.snbt	98	Just a light	Просто свет	reviewed
overrides/config/ftbquests/quests/chapters/off_to_the_moon.snbt	114	Off To The Moon	Отправляемся на Луну	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	13	Collected from ores on venus	Добывается из руд на Венере	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	63	Any #forge:raw_materials/uranium	Любой предмет из тега #forge:raw_materials/uranium	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	66	Raw Uranium	Необработанный уран	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	105	Any #forge:raw_materials/osmium	Любой предмет из тега #forge:raw_materials/osmium	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	108	Raw Osmium	Необработанный осмий	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	118	Used to create the portal to venus. Requires 10 blocks	Используется для создания портала на Венеру. Требуется 10 блоков	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	135	The lower levels of venus are full of lava	Нижние уровни Венеры полны лавы.	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	152	Below the red sand and red sandstone there is blackstone and ores	Под красным песком и красным песчаником залегают чернит и руды	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	169	From smelting chunks	Получается переплавкой кусков руды	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	203	Can be made with redstone shards and sand	Создаётся из осколков редстоуна и песка	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	220	Obtained from killing enderman on venus	Выпадает из эндерменов на Венере	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	237	Obtained from killing blazes on venus	Выпадает из всполохов на Венере	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	257	Magical eyes	Волшебные глаза	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	274	Made from blaze rods	Создаётся из огненных стержней	reviewed
overrides/config/ftbquests/quests/chapters/off_to_venus.snbt	290	Off To Venus	Отправляемся на Венеру	reviewed
overrides/config/ftbquests/quests/chapters/portal.snbt	13	Used to create portal frames	Используется для создания рам портала	reviewed
overrides/config/ftbquests/quests/chapters/portal.snbt	30	Used to light the portal to the mining belt	Активирует портал в Шахтёрский пояс	reviewed
overrides/config/ftbquests/quests/chapters/portal.snbt	50	Used to create the portal to the mining belt. Requires 10 blocks	Используется для создания портала в Шахтёрский пояс. Требуется 10 блоков	reviewed
overrides/config/ftbquests/quests/chapters/portal.snbt	67	Used to upgrade tools and create portal frames	Улучшает инструменты и используется для создания рам портала	reviewed
overrides/config/ftbquests/quests/chapters/portal.snbt	84	The structure compass can be used to find structures in dimensions. Useful for finding ores in the mining belt	Компас структур помогает искать структуры в разных измерениях — например, рудные астероиды в Шахтёрском поясе	reviewed
overrides/config/ftbquests/quests/chapters/portal.snbt	101	Collected from ores in the mining belt	Добывается из руд в Шахтёрском поясе	reviewed
overrides/config/ftbquests/quests/chapters/portal.snbt	288	Made from smelted chunks. Used to make spray cans which can be used to color stone blocks	Создаётся из переплавленных кусков руды. Используется для баллончиков, которыми можно окрашивать каменные блоки	reviewed
overrides/config/ftbquests/quests/chapters/portal.snbt	355	Portal	Портал	reviewed
overrides/config/ftbquests/quests/chapters/returning_to_the_overworld.snbt	13	Home sweet home!	Дом, милый дом!	reviewed
overrides/config/ftbquests/quests/chapters/returning_to_the_overworld.snbt	30	See you soon 	До скорой встречи	reviewed
overrides/config/ftbquests/quests/chapters/returning_to_the_overworld.snbt	39	Thanks For Playing 	Спасибо за игру!	reviewed
overrides/config/ftbquests/quests/chapters/returning_to_the_overworld.snbt	46	Returning To The Overworld	Возвращение в Верхний мир	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	13	Used for the casing of a fission reactor	Используется для корпуса реактора деления	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	30	Used to add and remove coolent, fuel and waste	Подаёт и отводит теплоноситель, топливо и отходы	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	63	Must be placed on the top of fission fuel assembly	Устанавливается сверху на топливную сборку реактора деления	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	80	Can also be used on the reactor	Также используется в конструкции реактора	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	100	Used to create a range of different chemicals	Используется для создания ряда различных химических веществ	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	117	Enriched uranium	Обогащённый уран	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	134	A mix of yellow cake uranium and quartz	Смесь жёлтого кека и кварца	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	170	Made from yellow cake uranium in a chemical oxidizer	Создаётся из жёлтого кека в химическом окислителе	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	180	Uranium	Уран	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	183	Uranium Oxide	Оксид урана	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	198	Uranium Hexafluoride	Гексафторид урана	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	225	Made in the chemical dissolution chamber with fluorite and sulfuric acid	Создаётся в камере химического растворения из флюорита и серной кислоты	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	235	Hydrofluoric Acid	Плавиковая кислота	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	243	Used to break down chemicals and items	Расщепляет химические вещества и предметы	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	253	Sulfuric Acid	Серная кислота	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	261	Can be made in a range of different ways. A simple way is using blaze rods in a immersive crusher	Получается несколькими способами; один из простых — дробление огненных стержней в дробилке Immersive Engineering	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	278	Turns uranium hexafuorite into fissile fuel which can be fed into a fission reactor	Превращает гексафторид урана в делящееся топливо для реактора деления	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	298	Nuclear waste is a by-product of running a fission reactor	Ядерные отходы являются побочным продуктом работы реактора деления	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	307	Nuclear Waste	Ядерные отходы	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	318	High volume of steam can be made in the fission reactor. You can use this steam in a turbine to create power	Реактор деления производит много пара. Направьте его в турбину для выработки энергии	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	328	Steam	Пар	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	336	Used for the case of the turbine	Используется для корпуса турбины	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	353	Used to extract power or insert steam	Выводит энергию или подаёт пар	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	370	These are placed around the rotational complex	Устанавливаются вокруг вращающего комплекса	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	387	These blocks are then place on top of the electromagnetic coils	Затем эти блоки помещаются поверх электромагнитных катушек.	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	404	Must have a least one in the structure to vent steam. Can be attached to fluid pipes to take water out of the turbine	В конструкции нужен хотя бы один блок для отвода пара. К нему можно подключить жидкостные трубы и выводить воду из турбины	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	421	Attaches to the turbin rotor up to 2 blades can be right clicked onto the rotor	К каждой секции ротора турбины можно прикрепить до двух лопастей нажатием ПКМ	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	438	Goes through the center middle of the turbine	Проходит по центру турбины	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	455	Connects to the top block of a turbine rotor	Подключается к верхнему блоку ротора турбины	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	475	These are then placed on top of all pressure dispersers and the rotation complex	Устанавливаются поверх всех рассеивателей давления и вращающего комплекса	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	492	Made from plutonium	Создаётся из плутония	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	509	Made from nuclear waste	Создаётся из ядерных отходов	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	518	Plutinium	Плутоний	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	521	Plutonium	Плутоний	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	540	Create A Fission Reactor	Постройте реактор деления	reviewed
overrides/config/ftbquests/quests/chapters/serious_power.snbt	547	Serious Power	Серьёзная энергетика	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	12	Can be made into stairs walls slabs and has brick variants	Из этого камня можно создавать ступени, ограды, плиты и кирпичные варианты	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	29	Red Colored Stone	Красный цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	52	Yellow Colored Stone	Жёлтый цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	75	Black Colored Stone	Чёрный цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	99	White Colored Stone	Белый цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	122	Blue Colored Stone	Голубой цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	145	Pink Colored Stone	Розовый цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	168	Purple Colored Stone	Фиолетовый цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	191	Magenta Colored Stone	Пурпурный цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	214	Light Blue Colored Stone	Светло-голубой цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	237	Cyan Colored Stone	Бирюзовый цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	260	Gray Colored Stone	Серый цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	283	Brown Colored Stone	Коричневый цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	306	Light Gray Colored Stone	Светло-серый цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	329	Orange Colored Stone	Оранжевый цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	352	Green Colored Stone	Зелёный цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	375	Lime Colored Stone	Лаймовый цветной камень	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	381	Provides a easier way to travel up and down around your base	Упрощает перемещение между уровнями базы	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	397	White Elevator	Белый лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	419	Black Elevator	Чёрный лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	441	Red Elevator	Красный лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	463	Yellow Elevator	Жёлтый лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	485	Blue Elevator	Голубой лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	507	Pink Elevator	Розовый лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	529	Purple Elevator	Фиолетовый лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	551	Magenta Elevator	Пурпурный лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	573	Light Blue Elevator	Голубой лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	595	Cyan Elevator	Бирюзовый лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	617	Gray Elevator	Серый лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	639	Brown Elevator	Коричневый лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	661	Light Gray Elevator	Светло-серый лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	683	Orange Elevator	Оранжевый лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	705	Green Elevator	Зелёный лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	727	Lime Elevator	Лаймовый лифт	reviewed
overrides/config/ftbquests/quests/chapters/shop.snbt	732	Block Shop	Магазин блоков	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	19	4 rocks make a asteroid block	Из четырёх астероидных камней получается блок астероида	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	36	A crafting table but from stone?	Верстак, только из камня?	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	53	First tools	Первые инструменты	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	168	Can be made from asteroid blocks	Создаётся из блоков астероида	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	185	Used to smelt items, asteroid rocks will smelt items	Переплавляет предметы; астероидные камни служат топливом	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	202	Asteroid blocks can be broken by hand to get asteroid rocks	Ломайте блоки астероида рукой, чтобы получить астероидные камни	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	219	Used to dry items and blocks into other items	Высушивает предметы и блоки, превращая их в другие материалы	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	236	Breaking asteroid blocks with the hammer will drop different items including water drops and ice shards	Разбивайте блоки астероида молотом, чтобы получать разные материалы, включая капли воды и осколки льда	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	259	Has a chance to drop when a hammer is used on a asteroid block	Может выпасть при разрушении блока астероида молотом	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	310	Using organic powder on a asteroid block in world will transform it into a asteroid plank	Примените органический порошок к установленному блоку астероида, чтобы превратить его в астероидные доски	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	327	Planks make sticks	Из досок создаются палки	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	344	Rocks can be used to make stone	Из камней можно создавать обычный камень	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	361	A mix of asteroid rocks and rocks	Смесь астероидных и обычных камней	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	378	Just a wooden bowl	Просто деревянная чаша	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	398	Yummy	Вкусно!	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	415	Mine stone, get cobblestone	Добывайте камень, чтобы получить булыжник	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	435	Drying cobblestone will make gravel	После сушки булыжник превращается в гравий	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	452	Has a chance to drop when a hammer is used on a asteroid block. Spare ice can be turned into water drops	Может выпасть при разрушении блока астероида молотом. Лишний лёд можно превратить в капли воды	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	469	Ice and cold. Cannot be placed in space	Холодный лёд. В космосе установить нельзя	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	486	Storing those items	Хранение этих предметов	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	506	A simple stone generator, can be used to make more asteroid blocks	Простой генератор камня, который поможет создавать больше блоков астероида	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	523	A slightly better source of food 	Источник пищи немного получше	reviewed
overrides/config/ftbquests/quests/chapters/starting_up.snbt	539	Starting Up	Первые шаги	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	13	Used to make mekanism machines	Используется для создания машин Mekanism	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	30	Smelted netherite dust	Получается переплавкой незеритовой пыли	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	47	Infuses items into others	Наполняет одни предметы веществом из других	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	64	A basic circuit	Базовая схема управления	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	81	A basic alloy	Основной сплав	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	98	A mix of gold and netherite scrap	Смесь золота и незеритового лома	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	118	Reinforced alloy	Укреплённый сплав	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	138	Advanced circuit	Улучшенная схема управления	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	158	Elite circuit	Элитная схема управления	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	178	Ulitmate circuit	Высшая схема управления	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	198	Atomic alloy	Атомный сплав	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	215	Comes from ancient debris	Получается из древних обломков	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	232	Infuses items with osmium	Наполняет предметы осмием	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	250	Made inside the osmium compressor	Создаётся в осмиевом компрессоре	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	284	Used to make atomic alloy, using enriched obsidian is a lot more efficient	Используется для создания атомного сплава; обогащённый обсидиан значительно эффективнее обычного	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	301	Crushes items	Дробит предметы	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	319	Used to make reinforced alloy, using enriched diamond is a lot more efficient	Используется для создания укреплённого сплава; обогащённый алмаз значительно эффективнее обычного	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	352	Can be used to transfer enery, items, fluids and gases across large distances and across dimensions	Передаёт энергию, предметы, жидкости и газы на большие расстояния, в том числе между измерениями	reviewed
overrides/config/ftbquests/quests/chapters/steel_casing.snbt	368	Steel Casing	Стальной корпус	reviewed
overrides/config/ftbquests/quests/chapters/useful_items.snbt	12	Useful because crafting them is awful am a right	Пригодится: создавать это вручную каждый раз — то ещё удовольствие, правда?	reviewed
overrides/config/ftbquests/quests/chapters/useful_items.snbt	29	Flux Plug	Флакс-разъём	reviewed
overrides/config/ftbquests/quests/chapters/useful_items.snbt	52	Flux Point	Флакс-точка	reviewed
overrides/config/ftbquests/quests/chapters/useful_items.snbt	58	Stores time, can be used to speed up blocks	Накапливает время, которое можно тратить на ускорение блоков	reviewed
overrides/config/ftbquests/quests/chapters/useful_items.snbt	82	Time In A Bottle	Время в бутылке	reviewed
